customer_id,first_name,last_name,email,phone,registration_date,customer_segment,is_active,lifetime_value
CUST000001,FirstName1,LastName1,customer.1@email.com,(555) 349-7361,2023-10-14,,0,5763.84
CUST000002,FirstName2,LastName2,customer2@email.com,,2023-03-02,VIP,true,9140.84
CUST000003,FirstName3,LastName3,customer.3@email.com,+1-555-604-4384,2022-10-10,Basic,false,7017.99
CUST000004,FirstName4,LastName4,,,2021-12-31,,False,442.24
CUST000005,FirstName5,LastName5,customer5@email.com,(555) 218-4577,2020-08-18,Basic,true,5123.06
CUST000006,FirstName6,LastName6,customer6@gmail.com,555-245-1073,2022-10-11,,0,3761.61
CUST000007,FirstName7,LastName7,Customer7@Email.com,,2021-04-18,Basic,N,40.95
CUST000008,FirstName8,LastName8,customer8@email.com,,2020-10-26,,true,9973.02
CUST000009,FirstName9,LastName9,,+1-555-963-6582,2022-09-10,,False,9464.39
CUST000010,FirstName10,LastName10,customer.10@email.com,,2022-08-18,,true,4667.18
CUST000011,FirstName11,LastName11,customer11@gmail.com,555-604-5453,2020-08-10,Premium,0,7826.39
CUST000012,FirstName12,LastName12,,,2023-05-11,,1,7404.09
CUST000013,FirstName13,LastName13,customer.13@email.com,+1-555-436-3835,2023-05-01,VIP,False,3254.49
CUST000014,FirstName14,LastName14,customer14@email.com,555-219-8943,2021-05-21,Premium,Y,2323.26
CUST000015,FirstName15,LastName15,,(555) 702-6968,2023-03-25,,N,9927.07
CUST000016,FirstName16,LastName16,Customer16@Email.com,555-575-3220,2022-10-13,Basic,Y,121.27
CUST000017,FirstName17,LastName17,customer17@email.com,,2020-06-16,Premium,False,599.18
CUST000018,FirstName18,LastName18,customer18@gmail.com,+1-555-768-4700,2023-02-10,,N,1985.52
CUST000019,FirstName19,LastName19,customer19@email.com,+1-555-940-7499,2023-08-11,,1,3291.56
CUST000020,FirstName20,LastName20,customer20@gmail.com,555-835-9118,2020-12-02,Standard,Y,2828.6
CUST000021,FirstName21,LastName21,customer21@gmail.com,5555957860,2020-03-26,,0,9005.77
CUST000022,FirstName22,LastName22,,5554083787,2020-02-07,Standard,1,3378.98
CUST000023,FirstName23,LastName23,,+1-555-924-2990,2020-04-06,Premium,true,1778.49
CUST000024,FirstName24,LastName24,customer24@email.com,,2021-11-23,Standard,N,543.08
CUST000025,FirstName25,LastName25,customer25@gmail.com,5555512145,2021-10-01,Premium,N,8704.98
CUST000026,FirstName26,LastName26,customer26@gmail.com,5558094299,2022-01-07,Premium,0,7816.3
CUST000027,FirstName27,LastName27,Customer27@Email.com,,2023-02-02,VIP,1,2302.62
CUST000028,FirstName28,LastName28,customer28@email.com,,2023-06-09,VIP,false,1029.1
CUST000029,FirstName29,LastName29,,(555) 268-1637,2023-07-17,Premium,false,6276.18
CUST000030,FirstName30,LastName30,,,2020-12-10,Basic,true,7783.89
CUST000031,FirstName31,LastName31,customer31@email.com,5554604879,2022-07-01,Premium,0,7939.95
CUST000032,FirstName32,LastName32,,,2022-03-16,Premium,False,3140.23
CUST000033,FirstName33,LastName33,Customer33@Email.com,555-305-3556,2021-02-26,Standard,Y,5310.28
CUST000034,FirstName34,LastName34,customer.34@email.com,555-210-5230,2022-09-05,Basic,true,79.77
CUST000035,FirstName35,LastName35,,(555) 342-3932,2020-08-04,VIP,Y,9181.76
CUST000036,FirstName36,LastName36,Customer36@Email.com,5551042940,2021-05-22,,true,4486.29
CUST000037,FirstName37,LastName37,Customer37@Email.com,,2020-05-12,,Y,1620.11
CUST000038,FirstName38,LastName38,customer38@email.com,+1-555-446-3460,2022-06-09,,1,5794.82
CUST000039,FirstName39,LastName39,,555-786-4385,2020-09-01,,1,159.98
CUST000040,FirstName40,LastName40,customer40@email.com,555-872-5132,2022-08-17,Premium,False,9761.51
CUST000041,FirstName41,LastName41,customer41@gmail.com,,2022-01-22,,True,2514.37
CUST000042,FirstName42,LastName42,customer42@email.com,555-523-2587,2023-09-26,VIP,true,9271.78
CUST000043,FirstName43,LastName43,customer43@email.com,,2022-01-07,VIP,0,9527.51
CUST000044,FirstName44,LastName44,customer44@gmail.com,5558504880,2020-09-23,Standard,False,28.76
CUST000045,FirstName45,LastName45,,+1-555-326-6047,2022-02-22,VIP,Y,6439.21
CUST000046,FirstName46,LastName46,customer46@gmail.com,555-808-7010,2020-12-27,Basic,False,8690.9
CUST000047,FirstName47,LastName47,Customer47@Email.com,+1-555-688-6473,2020-03-24,VIP,true,563.57
CUST000048,FirstName48,LastName48,,,2023-05-27,,False,6612.67
CUST000049,FirstName49,LastName49,customer49@email.com,,2020-08-03,Premium,0,233.1
CUST000050,FirstName50,LastName50,,+1-555-920-8409,2022-08-17,VIP,1,2369.92
CUST000051,FirstName51,LastName51,,(555) 708-8243,2021-10-30,,0,5250.31
CUST000052,FirstName52,LastName52,,5557974898,2022-09-24,,False,1676.08
CUST000053,FirstName53,LastName53,customer53@email.com,,2023-04-06,Premium,Y,1035.82
CUST000054,FirstName54,LastName54,,555-961-9232,2021-02-10,VIP,False,2503.27
CUST000055,FirstName55,LastName55,Customer55@Email.com,5557162536,2022-11-03,VIP,0,6916.57
CUST000056,FirstName56,LastName56,Customer56@Email.com,+1-555-728-3696,2023-10-06,Basic,true,6378.16
CUST000057,FirstName57,LastName57,,+1-555-492-7962,2022-05-06,VIP,N,4840.47
CUST000058,FirstName58,LastName58,customer58@email.com,,2021-02-19,,False,4445.71
CUST000059,FirstName59,LastName59,,5551363840,2022-03-19,,0,7043.02
CUST000060,FirstName60,LastName60,customer60@email.com,,2021-01-12,,false,3432.45
CUST000061,FirstName61,LastName61,,(555) 908-2589,2020-08-15,Premium,False,9085.11
CUST000062,FirstName62,LastName62,Customer62@Email.com,(555) 528-2570,2023-06-02,,true,5750.73
CUST000063,FirstName63,LastName63,Customer63@Email.com,5555717812,2020-08-23,VIP,0,462.83
CUST000064,FirstName64,LastName64,,,2022-05-23,Basic,true,3227.24
CUST000065,FirstName65,LastName65,,,2020-03-01,Premium,true,4987.93
CUST000066,FirstName66,LastName66,,+1-555-677-1719,2023-04-26,VIP,1,6219.29
CUST000067,FirstName67,LastName67,,,2022-12-17,,true,7573.45
CUST000068,FirstName68,LastName68,customer.68@email.com,5557121535,2021-01-12,,Y,4733.64
CUST000069,FirstName69,LastName69,,+1-555-850-9082,2022-02-14,,True,7914.23
CUST000070,FirstName70,LastName70,customer70@gmail.com,555-805-9670,2021-10-26,,Y,5658.65
CUST000071,FirstName71,LastName71,,,2020-10-15,,0,5852.11
CUST000072,FirstName72,LastName72,customer72@email.com,555-467-6909,2020-07-25,Standard,N,2653.64
CUST000073,FirstName73,LastName73,,5555554572,2021-06-24,Premium,False,9339.93
CUST000074,FirstName74,LastName74,customer74@email.com,555-523-3501,2023-08-06,Basic,N,8426.27
CUST000075,FirstName75,LastName75,customer75@email.com,555-656-5409,2022-05-25,,0,3643.17
CUST000076,FirstName76,LastName76,,555-392-1064,2022-02-18,,N,2122.45
CUST000077,FirstName77,LastName77,Customer77@Email.com,+1-555-529-9618,2021-06-27,Basic,N,7664.96
CUST000078,FirstName78,LastName78,Customer78@Email.com,555-517-7563,2021-03-17,,true,2993.82
CUST000079,FirstName79,LastName79,customer79@email.com,,2023-06-27,,False,985.88
CUST000080,FirstName80,LastName80,customer.80@email.com,(555) 818-8725,2022-09-17,VIP,false,5520.16
CUST000081,FirstName81,LastName81,Customer81@Email.com,(555) 898-2737,2021-01-16,,False,2172.33
CUST000082,FirstName82,LastName82,customer.82@email.com,(555) 104-5704,2023-06-17,Premium,true,9323.46
CUST000083,FirstName83,LastName83,,(555) 771-4696,2021-05-31,,False,8952.54
CUST000084,FirstName84,LastName84,Customer84@Email.com,(555) 665-3819,2020-11-26,Standard,false,9227.57
CUST000085,FirstName85,LastName85,customer85@email.com,,2022-08-01,,False,5286.5
CUST000086,FirstName86,LastName86,customer.86@email.com,,2022-10-11,Standard,True,5434.14
CUST000087,FirstName87,LastName87,customer87@gmail.com,+1-555-764-1625,2022-02-12,VIP,true,5594.07
CUST000088,FirstName88,LastName88,,,2020-08-11,,true,4142.18
CUST000089,FirstName89,LastName89,,555-384-6919,2023-09-21,Premium,False,4693.99
CUST000090,FirstName90,LastName90,customer.90@email.com,5557168117,2022-07-02,VIP,0,1641.11
CUST000091,FirstName91,LastName91,,,2022-06-04,,True,4683.14
CUST000092,FirstName92,LastName92,customer92@email.com,,2022-05-29,VIP,Y,2890.06
CUST000093,FirstName93,LastName93,,(555) 677-1281,2022-09-22,,False,4185.64
CUST000094,FirstName94,LastName94,customer94@gmail.com,555-764-6955,2022-08-10,Basic,false,2793.44
CUST000095,FirstName95,LastName95,customer.95@email.com,,2021-09-15,,Y,2719.84
CUST000096,FirstName96,LastName96,Customer96@Email.com,,2020-05-23,Basic,False,2483.72
CUST000097,FirstName97,LastName97,,5555948852,2022-05-20,,false,7580.34
CUST000098,FirstName98,LastName98,,+1-555-361-4440,2023-03-29,,true,9471.24
CUST000099,FirstName99,LastName99,,,2020-10-16,,True,2005.82
CUST000100,FirstName100,LastName100,customer100@email.com,555-455-2101,2021-05-23,,N,3650.16
CUST000101,FirstName101,LastName101,customer.101@email.com,5553869077,2021-10-13,Premium,true,6910.2
CUST000102,FirstName102,LastName102,customer102@email.com,+1-555-888-5222,2022-09-07,Standard,N,1092.93
